,bala_seed_BI_BASELINE,bala_seed_BI_NODE,bala_seed_BI_EDGE1,bala_seed_BI_EDGE2
IBM_ARG_KP_STEP_1_16,32,10,32,16
IBM_ARG_KP_STEP_1_8,32,14,32,32
IBM_ARG_KP_STEP_1_4,32,10,24,24
IBM_ARG_KP_STEP_1_2,16,14,32,16
IBM_ARG_KP_STEP_1,8,14,32,32
IBM_ARG_KP_STEP_2,16,8,8,16
IBM_ARG_KP_STEP_4,32,10,24,16
IBM_ARG_KP_STEP_8,16,8,16,32
SICK_REL_STEP_25,16,14,24,32
SICK_REL_STEP_50,32,14,24,32
SICK_REL_STEP_100,32,12,32,32
SICK_REL_STEP_200,8,12,32,32
SICK_REL_STEP_400,8,10,8,32
SICK_REL_STEP_800,16,8,8,24
SICK_REL_STEP_1600,16,8,16,8
SICK_REL_STEP_3200,32,10,32,32
SICK_NLI_STEP_25,8,10,16,8
SICK_NLI_STEP_50,32,10,8,8
SICK_NLI_STEP_100,32,8,24,16
SICK_NLI_STEP_200,16,8,8,32
SICK_NLI_STEP_400,16,10,8,24
SICK_NLI_STEP_800,8,8,16,8
SICK_NLI_STEP_1600,8,12,16,8
SICK_NLI_STEP_3200,32,10,8,8