Dataset,Size,Node,Edge-I,Edge-II
Arg-KP,1/16 Topic,0.188533996,0.027829856,0.14428343
Arg-KP,1/8 Topic,0.869583517,0.738669558,0.644041955
Arg-KP,1/4 Topic,0.16671721,0.431460809,0.956488752
Arg-KP,1/2 Topic,0.384451145,0.980445304,0.971864435
Arg-KP,1 Topic,0.084829689, ,0.04369564
Arg-KP,2 Topics,0.691162036,0.153962604,0.250951282
Arg-KP,4 Topics,0.030470446,0.697421459,0.171466174
Arg-KP,8 Topics,0.81793352,  ,0.386433836
SICK-REL,25 Instances,0.421693753,0.119695455,0.137406402
SICK-REL,50 Instances,0.079927794,0.716412349,0.255498684
SICK-REL,100 Instances,0.68603544,0.516967781,0.326655989
SICK-REL,200 Instances,0.242500966,0.753999506,0.87431447
SICK-REL,400 Instances,0.872669118,0.399199869,0.346851022
SICK-REL,800 Instances,0.827321839,0.14132799,0.391925448
SICK-REL,1600 Instances,0.501294809,0.056023837,0.115512777
SICK-REL,3200 Instances,0.163084036,0.487056747,0.875899933
SICK-NLI,25 Instances,0.003792846,0.00092373,0.453958304
SICK-NLI,50 Instances,0.217298283,1,0.450393979
SICK-NLI,100 Instances,0.27103195,0.098938296,0.400466141
SICK-NLI,200 Instances,0.052023582,0.636407837,0.73802536
SICK-NLI,400 Instances,0.516853909,0.867635646,0.917454386
SICK-NLI,800 Instances,0.692621526,0.507849981,0.553703788
SICK-NLI,1600 Instances,0.692982024,0.379447059,0.97628531
SICK-NLI,3200 Instances,0.663908924,0.437454183,0.220895375